"","cell_clustering","CD117_ckit","CD11b","CD11c","CD19","CD206_MMR","CD25_IL2R","CD38","CD3e","CD4","CD44","CD45R","CD49b","CD5","CD62L_L_selectin","CD69","CD8a","F4_80","FceR1a","Foxp3","Gata3","IA_IE_MHC_class_II","IgM","Ly6C","Ly6G","ROR_gamma_t","Tbet","proportion"
"236",236,0,0,0,0.127839239205968,0,0,0.980829545644488,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69730963740318,0,0,0,0,0,0.24
"237",237,0,0,0,0,0,0,0.0956903955407331,0,0,1.86570960547786,0,0,0,0,0,0,0,0,0,0,1.63671337017589,0,0,0,0.0143263922860404,0,0.17
"238",238,0,0,0,1.50154555772069,0,0,0,0,0,0.0830788877551592,0.0250368908389157,0,0,0.161049093043942,0,0,0,0,0,0,0.605433063298426,0.474933052674337,0,0,0,0,0.12
"239",239,0,0,0,0.437565366792214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93521091214722,1.3799214680385,0,0,0,0,0.23
"240",240,0,0,0,0.545911594645744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408980883402932,1.48756531234871,0,0,0,0,0.12
"241",241,0.028536684360084,0,2.45830512274487,2.13938940879873,0,0,1.9531900962162,0,0,0.198133323995066,0.794055898527512,0,0,2.02737581669091,0,0,0,0.599153046500684,0,0,5.02455734692346,2.08790591231211,0,0.146355953216133,0,0,0.22
"242",242,0.215561301972047,0,2.70176983188453,2.49495962688653,0,0,2.51166246346659,0,0.288187758675528,1.90542789603127,1.0676694268249,0,0,2.36563049640314,0,0,0,0.912540206861276,0,0,5.4931460897832,2.04174708734295,0,0.250059695720543,0,0,0.16
"243",243,0.16671315226717,0,0,2.59133526647563,0,0,2.61758742168788,0,0.0385380592685005,1.63090785783012,1.38748526704734,0,0,1.72720160599366,0,0,0,0.553684062938163,0,0,5.65517534227475,2.64400206856034,0,0,0,0,0.22
"244",244,0.0940459301424278,0,0,2.75182082729429,0,0,2.61225402324979,0,0.529543777611984,2.8936156779699,0.15985801304505,0,1.7906694712076,1.06612890257767,0,0,0,0.388148532158688,0,0,5.35075395497779,0.72326331228605,0,0,0,0,0.08
"245",245,0.296567466860253,0,0,2.4770272469174,0,0,2.74321266048606,0,0.154661281493172,2.03995165460229,1.28659414139898,0,0,0.226987809215138,0,0,0,0.828274087159972,0,0,5.85353643859665,2.03090240888761,0,0,0,0,0.18
"246",246,0.116690456330817,0,0,2.11657884053318,0,0,2.46036992245763,0,0.00741163635580275,1.40651255923533,0.361504171344295,0,0,0.0582954914606185,0,0,0,0.640835269124646,0,0,5.58169329942146,2.25059969746909,0,0,0,0,0.26
"247",247,0,0,0,2.15433563653461,0,0,1.79883187305791,0,0,1.19273425947752,0.214084904164946,0,0,0.048944411195988,0,0,0,0.0582776582497615,0,0,4.80528603604395,2.24716383809004,0,0,0,0,0.39
"248",248,0,0,0,1.37366109539015,0,0,1.84293539432823,0,0,1.81562479907023,0.270195105978649,0,0,0.050966760969057,0,0,0,0.142975389268216,0,0,4.94390364248011,2.32957039028776,0,0,0,0,0.25
"249",249,0,0,0,1.97747620865546,0,0,0.920165488657254,0,0.0205458296808642,2.26993913637475,0.366739471851787,0,0,0.225569735949021,0,0,0,0,0,0,4.34977708411955,1.66973051041755,0,0,0,0,0.19
"250",250,0,0,0,0.583484433509158,0,0,0.497822461819707,0,0,1.24873052707748,0.191065756047861,0,0,0,0,0,0,0,0,0,4.30813946052968,1.35226833235992,0,0,0,0,0.27
"251",251,0,0,0,1.10185908481005,0,0,1.31799697828418,0,0,1.01079026788269,0.07079832931951,0,0,0.0212879552738244,0,0,0,0,0,0,4.10403373089073,1.05381440898364,0,0,0,0,0.36
"252",252,0,0,0,1.06520767331019,0,0,0.236545495150447,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34780664678599,0.0660099247079149,0,0,0,0,0.47
"253",253,0,0,0,0.142681678267247,0,0,0.135540310112461,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05749194364327,0,0,0,0,0,0.5
"254",254,0,0,0,0.568205135516946,0,0,0.412432943028377,0,0,0.101253938466181,0,1.14224019738537,0,0,0,0,0,0,0,0,3.69239585072338,0.141026225610053,0,0,0,0,0.29
"255",255,0,0,0,0.453742733823793,0,0,1.14126417150612,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67643714605219,1.23076987557353,0,0,0,0,0.36
"256",256,0,0,0,1.27768998580211,0,0,1.10708810894195,0,0,0.049666388703336,0.0124430872276751,0,0,0,0,0,0,0,0,0,3.17126050225102,0.229574118333127,0,0,0,0,0.29
"257",257,0,0,0,1.09026147016241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96220128359148,0.153180580426495,0,0,0,0,0.28
"258",258,0,0,0,1.65167577578025,0,0,0.0650704164106501,0,0,0.0383645830388051,0.0939100123095849,0,0,0.00440351620236282,0,0,0,0,0,0,2.85677681014556,0.324058673411452,0,0,0,0,0.3
"259",259,0,0,0,1.59482495123501,0,0,0.00908507646968322,0,0,0.0215065708249463,0.140928664237738,0,0,0.116954718370982,0,0,0,0,0,0,2.23445025324757,1.49452435870727,0,0,0,0,0.25
