"","cell_clustering","CD117_ckit","CD11b","CD11c","CD19","CD206_MMR","CD25_IL2R","CD38","CD3e","CD4","CD44","CD45R","CD49b","CD5","CD62L_L_selectin","CD69","CD8a","F4_80","FceR1a","Foxp3","Gata3","IA_IE_MHC_class_II","IgM","Ly6C","Ly6G","ROR_gamma_t","Tbet","proportion"
"144",144,0.122237831355464,0.0413356393379066,0.765220706826417,0,0,0,0.16623429663619,0,0.0313899149336965,0.423999622058828,0,0,0,0,0,0,0,0,0,0,0.671608833155993,0,0,0,0.069557459387378,0,0.15
"145",145,0,0,0,0.48114981352921,0,0,0.565430412553847,0,0,0.200209547747652,0.0443703837849583,0,0,0,0,0,0,0.0151840197573887,0,0,0.759363930595028,0.0197549000164649,0,0,0,0,0.46
"146",146,0,0,0,0.126293580533164,0,0,0.488385507903823,0,0,0.253781466387022,0.063534446033726,0,0,0,0,0,0,0.0520764995096413,0,0,0.758706808324727,0.00148013316220616,0,0,0,0,0.41
"147",147,0.714804829927238,0,0,0,0,0.0561661893592237,0.538784362007538,0,0.345104735943308,0.807843135050103,0,0,0,0,0.771099340418524,0,0,0.0335131408710419,0,0.173408416174338,0.644497889643967,0,0,0,0.501934795838279,0.0503861762885741,0.07
"148",148,0.105291543206683,0,0,0.883099090933644,0,0,0.824963672890032,0,0.226901995582245,0.667734579875616,0.387448949539258,0,0,0,0,0,0,0.324769521398741,0,0,0.908082764266803,0,0,0,0,0,0.16
"149",149,0,0,0,0.49505672141676,0,0,0.547416916866634,0,0,0.0418258755359448,0.141901455575917,0,0,0.0818620879052176,0,0,0,0.0654750185813615,0,0,0.771712754140116,0.125485409804057,0.2571602273091,0,0,0,0.26
"150",150,0,0,0,0.723917238432818,0,0,0.695412845640834,0,0,0.210984403076042,0.366071405654539,0,0,0.575771737157982,0,0,0,0.160750655546896,0,0,0.82827691335823,0.528610824832922,0.333414139270541,0,0,0,0.21
"151",151,0,0,0,0,0,0,0.520418468246548,0,0.0374360441532814,0.532206376273279,0,0,0,0.145395053269951,0.519108132371667,0,0,0,0,0,0.642632378796257,0,0.983080210254795,0,0.0632324275456138,0.52936094625055,0.18
"152",152,0.0176704147051715,0,0,0,0,0,0.319313301769923,0,0.129165826820116,0.647298303729319,0,0,0,0.0208692317052089,0.717396186264092,0,0,0,0,0.0260009031318753,0.0574318291114334,0,0.685913349048425,0,0.048284304995145,0.504957579471926,0.08
"153",153,0,0,0,0,0,0,0.614917056167861,0,0,0,0,0.0185790051484046,0,0.193833855821956,0,0,0,0,0,0,0,0,1,0,0.0353113914443903,0.624122443271282,0.2
"154",154,0,0,0,0,0,0,0.129587137570002,0.15597235102046,0.0620688970959426,0.536778962398935,0,0.00938512875903401,0.47694577907726,0.207470642393333,0.164768907536467,0,0,0,0,0.0275846158464833,0,0,0.67962006291067,0,0.0185215299740931,0.382368950766046,0.06
"155",155,0,0,0,0,0,0,0.0652642495944035,0.247791744217302,0.049099014817376,0.536332984485572,0,0,0.666098574523748,0.0389811201945792,0,1,0,0,0,0.00790698573898314,0,0,0.68389665583567,0,0.0590859949710019,0.411165701012325,0.08
"156",156,0,0,0,0,0,0,0,0.38666078044768,0,0.109754176486394,0,0,0.486956009963725,0.764320928230582,0,1,0,0,0,0,0,0,0,0,0,0,0.23
"157",157,0,0,0,0,0,0,0.012766521494507,0.223709254708681,0,0.409789077037485,0,0,0.519482133614844,0,0,0.955158907070752,0,0,0,0,0,0,0,0,0,0,0.16
"158",158,0.19604434253448,0,0.8213591897246,0,0,0.0214255339498289,0.206570055294159,0,0.198372037765582,0.686223789699231,0.17473064711507,0,0.0100263302754737,0,0.556325691954808,0,0.191049378594202,0.258656567934277,0,0.208137097295796,0.0335506485365679,0,0,0.46154263790243,0.141042889512024,0.196981710838992,0.11
"159",159,0,0,0.758578204148686,0,0,0,0,0,0,0,0.0863825773372279,0,0,0,0,0,0.0148461799641216,0.105861530971779,0,0,0,0,0,0.390163156400599,0,0,0.3
"160",160,0.102117297082345,0,0.90976224853698,0,0,0.0489992269611522,0.0103276241760338,0.0123169707138868,0.0922116485922369,0.0432242993754502,0.377110836109198,0,0.00997933991747,0.0786826222911136,0.0361097158898424,0.0111979560989051,0.326213687582385,0.928283941004494,0.039595054514569,0.074454409846591,0.121861506013066,0,0.0415084759859514,1,0,0.0506188886133953,0.2
"161",161,0,0,1,0.16940324243224,0,0,0.0593448235225908,0,0,0,0.222329904927645,0,0,0,0,0,0.0248768457782091,0,0,0,0.582640981202726,0.0713546891036269,0,0.10045202936804,0,0,0.14
"162",162,0.0806330986586893,0,0.765497898895609,0.209656534427938,0,0,0.270422805777243,0,0.0638157096514839,0.0743776224198016,0.383767031538654,0,0,0.112663619319187,0.0150360379840682,0,0.199578848430458,0.879354117275487,0.00647342457857747,0.0414850781629794,0.667186585129284,0.123243180359926,0.00994205924549403,0.894801900967667,0,0.00756686348445995,0.18
"163",163,0,0,0.585873087433833,0.537023558916437,0,0,0.0739899217436632,0,0,0.0616466362349931,0.276489087138811,0,0,0.262495001921082,0,0,0,0.0718842348513773,0,0,0.42138630647366,0.512224664507719,0,0.110982697391855,0,0,0.13
"164",164,0,0,0.360096093759544,0.110496722783414,0,0,0.11255604538154,0,0,0.0367851044916083,0,0,0,0,0,0,0,0.000162200478403785,0,0,0.588282851761619,0,0,0,0,0,0.37
"165",165,0,0,0.362867250750247,0.417194127555869,0,0,0.496934208527838,0,0,0.0861873917420082,0.158654911592112,0,0,0.0384763733247115,0,0,0,0.163120966214448,0,0,0.757999212748541,0.0742458486953421,0,0,0,0,0.4
"166",166,0.0421099742160187,0,0,0.425724074322867,0,0,0.745017901056716,0,0,0.267474816454172,0.127929987609659,0,0,0.0184102331572559,0,0,0,0.352946885165315,0,0,0.881543386928893,0.0330174625983969,0,0,0,0,0.29
"167",167,0,0,0,0.793593118386857,0,0,0.630770152920085,0,0.0315769431900037,0.484867135196488,0.714642101071279,0,0,0,0,0,0,0.065875662451343,0,0,0.801577877844947,0,0,0,0,0,0.18
"168",168,0.00818705792890266,0,0,0.781902475778623,0,0,0.765972837921539,0,0.0352690267615027,0.509076799604149,0.0755100531022022,0,0,0,0,0,0,0.1722608743464,0,0,0.843316616993741,0,0,0,0,0,0.28
